customer_id,age,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,customer_satisfaction,support_calls,churn
CUST_000001,52,Male,0,Yes,Yes,7,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,One year,Yes,Electronic check,39.18,294.66,4,3,No
CUST_000002,42,Male,0,Yes,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,40.36,1286.75,3,1,No
CUST_000003,54,Male,0,No,Yes,12,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),84.77,947.09,2,3,Yes
CUST_000004,67,Male,1,No,No,3,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Credit card (automatic),54.14,172.76,4,5,No
CUST_000005,41,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,71.77,466.98,3,3,No
CUST_000006,41,Male,0,No,Yes,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,23.08,585.11,4,1,No
CUST_000007,68,Male,1,Yes,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),42.87,371.67,3,1,No
CUST_000008,56,Female,0,Yes,No,22,Yes,No,DSL,No,No,Yes,No,No,Yes,One year,Yes,Electronic check,61.15,1352.62,5,1,No
CUST_000009,37,Male,0,Yes,Yes,5,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),47.17,252.11,3,1,No
CUST_000010,53,Female,0,Yes,No,14,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Mailed check,49.69,636.29,5,2,Yes
CUST_000011,38,Female,0,No,No,17,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,78.85,1264.99,3,3,Yes
CUST_000012,38,Male,0,No,No,12,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,Yes,Electronic check,40.34,464.7,4,2,No
CUST_000013,48,Female,0,No,No,5,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,53.25,292.82,2,2,Yes
CUST_000014,18,Female,0,Yes,No,14,Yes,No,DSL,No,No,Yes,No,No,No,One year,No,Credit card (automatic),45.36,611.66,4,2,No
CUST_000015,19,Male,0,No,Yes,28,Yes,No,DSL,No,No,Yes,No,No,No,Two year,No,Credit card (automatic),54.96,1674.87,3,5,No
CUST_000016,36,Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),93.13,6219.45,4,1,No
CUST_000017,29,Female,0,Yes,No,37,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),25.45,888.73,4,2,No
CUST_000018,49,Female,0,No,No,4,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,69.56,261.1,5,2,Yes
CUST_000019,31,Female,0,Yes,Yes,7,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),65.31,431.0,4,1,No
CUST_000020,23,Male,0,Yes,No,1,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),50.38,49.5,3,3,No
CUST_000021,66,Female,1,Yes,No,3,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,No,Electronic check,39.95,114.02,3,6,Yes
CUST_000022,41,Male,0,Yes,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),34.64,212.99,3,3,Yes
CUST_000023,46,Female,0,No,No,5,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.82,266.54,1,0,Yes
CUST_000024,23,Female,0,No,No,5,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),53.44,273.66,5,3,No
CUST_000025,36,Male,0,No,No,6,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Electronic check,58.86,323.52,5,3,No
CUST_000026,46,Female,0,No,No,8,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,50.4,374.55,4,3,Yes
CUST_000027,27,Female,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Electronic check,93.2,280.82,4,2,No
CUST_000028,50,Female,0,No,No,7,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),47.36,330.2,3,2,No
CUST_000029,35,Male,0,Yes,Yes,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),29.58,873.16,4,0,No
CUST_000030,40,Female,0,No,No,6,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Electronic check,39.54,258.54,4,3,No
CUST_000031,35,Female,0,Yes,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),35.98,138.33,5,0,No
CUST_000032,72,Male,1,No,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),37.03,39.48,5,2,No
CUST_000033,44,Male,0,Yes,No,16,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,43.55,629.17,3,3,No
CUST_000034,29,Male,0,No,No,44,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),48.63,2278.0,3,1,No
CUST_000035,57,Female,0,No,No,1,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,One year,No,Credit card (automatic),60.75,60.29,4,1,No
CUST_000036,26,Female,0,No,No,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),48.6,911.88,4,1,No
CUST_000037,48,Male,0,No,Yes,25,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Electronic check,61.33,1537.06,4,1,No
CUST_000038,18,Female,0,Yes,No,21,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),83.5,1878.15,2,2,No
CUST_000039,25,Male,0,No,No,50,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),44.91,2253.26,5,3,No
CUST_000040,47,Female,0,Yes,No,48,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),35.35,1624.6,1,0,No
CUST_000041,56,Male,0,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),30.77,33.43,4,3,No
CUST_000042,47,Male,0,Yes,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,21.9,203.8,4,1,No
CUST_000043,43,Male,0,Yes,No,26,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,44.42,1150.72,1,4,No
CUST_000044,40,Male,0,No,Yes,72,No,No phone service,Fiber optic,No,No,No,Yes,No,No,One year,No,Mailed check,73.51,4895.44,3,2,No
CUST_000045,22,Female,0,No,Yes,39,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),87.34,3133.99,1,5,No
CUST_000046,34,Female,0,No,Yes,4,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Mailed check,83.84,305.81,3,2,No
CUST_000047,38,Male,0,Yes,No,7,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,63.14,422.69,1,1,Yes
CUST_000048,60,Male,0,Yes,No,34,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),67.55,2417.86,5,2,No
CUST_000049,50,Male,0,Yes,Yes,15,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),48.79,761.49,2,3,Yes
CUST_000050,18,Female,0,Yes,No,19,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),62.32,1260.29,4,2,No
CUST_000051,49,Female,0,Yes,Yes,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,32.86,693.7,3,1,No
CUST_000052,39,Male,0,Yes,No,2,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,67.39,134.3,3,2,No
CUST_000053,34,Female,0,No,No,46,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,One year,Yes,Mailed check,50.52,2384.42,2,2,No
CUST_000054,54,Male,0,No,No,47,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,75.58,3438.34,3,0,No
CUST_000055,60,Female,0,No,Yes,15,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),35.27,511.76,3,2,No
