property_id,neighborhood,distance_to_city_center,distance_to_metro,distance_to_school,crime_rate,house_age,total_area,bedrooms,bathrooms,floors,garage,garden,basement,balcony,construction_quality,renovation_status,heating_type,air_conditioning,parking_spaces,energy_efficiency,listing_duration,season_sold,year_sold,sale_price
PROP_000001,Forest Glen,6.6,908,296,1.0,22,103,3,3,1,1,1,1,0,Basic,Full,Gas,0,2,D,1,Winter,2022,342.8
PROP_000002,Lakeside,2.6,84,30,1.0,12,114,2,2,2,1,0,0,1,Standard,Never,Gas,1,0,A,17,Fall,2023,545.0
PROP_000003,Downtown,10.2,50,120,1.0,21,83,5,3,1,1,1,1,1,Premium,Never,Central,1,1,C,4,Summer,2021,710.1
PROP_000004,Riverside,5.1,475,48,1.0,0,127,3,1,2,1,1,1,1,Standard,Full,Central,1,1,D,55,Winter,2023,894.5
PROP_000005,Oakwood,0.5,647,111,1.0,21,59,6,2,2,0,0,0,0,Standard,Never,Central,0,0,C,15,Fall,2023,258.4
PROP_000006,Riverside,0.9,105,52,1.0,18,59,5,3,2,1,1,0,1,Basic,Partial,Electric,1,3,E,58,Spring,2020,313.7
PROP_000007,Coastal Heights,4.8,50,43,1.0,4,151,3,3,1,1,0,1,1,Premium,Never,Central,0,2,B,57,Fall,2020,1200.0
PROP_000008,Forest Glen,4.3,58,91,1.0,7,155,4,3,2,1,1,0,1,Basic,Partial,Central,1,1,B,45,Summer,2023,769.3
PROP_000009,Garden City,4.4,413,49,1.0,51,60,4,3,2,1,1,1,0,Standard,Partial,Electric,1,2,D,38,Spring,2023,321.4
PROP_000010,Elmwood,0.8,249,38,1.0,26,175,4,3,2,1,1,1,0,Standard,Never,Central,0,0,E,41,Summer,2020,655.8
PROP_000011,Oakwood,3.0,98,118,1.0,2,50,4,3,2,1,1,0,0,Basic,Partial,Central,0,2,D,3,Summer,2022,261.0
